,Carter Number,Name
hagancl01,4,Cliff Hagan
heinsto01,4,Tom Heinsohn
holupjo01,5,Joe Holup
hopkibo01,5,Bob Hopkins
jordoph01,5,Phil Jordon
learha01,5,Hal Lear
leonasl01,5,Slick Leonard
mccarjo01,4,Johnny McCarthy
naullwi01,4,Willie Naulls
paxsoji01,5,Jim Paxson
piontda01,5,Dave Piontek
rayji01,5,Jim Ray
russebi01,4,Bill Russell
shavlro01,5,Ron Shavlik
sobiero01,5,Ron Sobie
stewano01,5,Norm Stewart
thiebbi01,6,Bill Thieben
tsiorlo01,5,Lou Tsioropoulos
bolstdo01,6,Doug Bolstorff
brownge01,5,George Brown
duckedi01,5,Dick Duckett
dunnpa01,5,Pat Dunn
ebbenbi01,6,Bill Ebben
eriasbo01,5,Bo Erias
frienla01,5,Larry Friend
hundlho01,4,Hot Rod Hundley
ingramc01,5,McCoy Ingram
jonessa01,4,Sam Jones
krebsji01,4,Jim Krebs
mccanbr01,5,Brendan McCann
pattewo01,5,Worthy Patterson
paulsje01,5,Jerry Paulson
radzira01,5,Ray Radziszewski
rosenle01,5,Lennie Rosenbluth
sauldwo01,4,Woody Sauldsberry
sparrgu01,5,Guy Sparrow
tyrach01,5,Charlie Tyra
walshji01,5,Jim Walsh
wilfowi01,5,Win Wilfong
bayloel01,4,Elgin Baylor
birdje01,5,Jerry Bird
bockhbu01,5,Bucky Bockhorn
brennpe01,5,Pete Brennan
cableba01,5,Barney Cable
deesar01,5,Archie Dees
dierkco01,4,Connie Dierking
ellisbo01,5,Boo Ellis
embrywa01,4,Wayne Embry
farmemi01,4,Mike Farmer
gambeda01,4,Dave Gambee
greerha01,4,Hal Greer
hamilst01,5,Steve Hamilton
hattove01,5,Vern Hatton
johnsan01,5,Andy Johnson
joneskc01,4,K.C. Jones
kearnto01,5,Tommy Kearns
mcmilsh01,5,Shellie McMillon
palmeji01,5,Jim Palmer
parrja01,5,Jack Parr
reedhu01,4,Hub Reed
rodgegu01,4,Guy Rodgers
rolliph01,5,Phil Rollins
stavela01,5,Larry Staverman
swainbe01,5,Bennie Swain
alcorga01,5,Gary Alcorn
anderbo01,5,Bob Anderegg
barnedi01,4,Dick Barnett
bellwh01,5,Whitey Bell
chambwi01,4,Wilt Chamberlain
ferrybo01,4,Bob Ferry
greenjo01,4,Johnny Green
guarige01,4,Gene Guarilia
hawkito01,5,Tom Hawkins
howelba01,4,Bailey Howell
kingma01,5,Maurice King
larusru01,4,Rudy LaRusso
mantini01,5,Nick Mantis
ramseca01,5,Cal Ramsey
richtjo01,5,John Richter
ruklijo01,5,Joe Ruklick
smithbo01,5,Bobby Smith
stevewa01,5,Wayne Stevens
windito01,5,Tony Windis
attleal01,4,Al Attles
boozebo01,4,Bob Boozer
buddda01,5,Dave Budd
davisra01,5,Ralph Davis
halbrsw01,5,Swede Halbrook
imhofda01,4,Darrall Imhoff
johnsro01,5,Ron Johnson
jolifho01,4,Howie Jolliff
joneswi01,5,Willie Jones
kennepi01,5,Pickles Kennedy
lacoufr01,5,Fred LaCour
leege01,4,George Lee
mcneibo01,5,Bob McNeill
morelja01,5,Jackie Moreland
ohldo01,4,Don Ohl
roberjo01,5,Joe Roberts
roberos01,4,Oscar Robertson
sandeto01,4,Tom Sanders
westje01,4,Jerry West
wilkele01,4,Lenny Wilkens
arcenst01,5,Stacey Arceneaux
bellawa01,4,Walt Bellamy
blanege01,5,George Blaney
bonsage01,5,George Bon Salle
buckhjo01,5,Joe Buckhalter
buckncl01,5,Cleveland Buckner
burtoed01,4,Ed Burton
butchdo01,5,Donnie Butcher
butleal01,5,Al Butler
carlho01,5,Howie Carl
darroji01,5,Jimmy Darrow
eganjo01,4,Johnny Egan
eichhdi01,5,Rich Eichhorst
hillcl01,5,Cleo Hill
hornro01,4,Ron Horn
kistldo01,5,Doug Kistler
laresyo01,5,York Larese
luckete01,5,Ted Luckenbill
martiwh01,5,Whitey Martin
meschto01,4,Tom Meschery
neumapa01,4,Paul Neumann
nordmbe01,4,Bevo Nordmann
osborch01,5,Chuck Osborne
phillga01,4,Gary Phillips
radovfr01,5,Frank Radovich
scottra01,4,Ray Scott
shaffle01,5,Lee Shaffer
simsbo01,5,Bob Sims
smithad01,4,Adrian Smith
smithbi01,5,Bill Smith
stithsa01,5,Sam Stith
turneja02,5,Jack Turner
walkeho01,5,Horace Walker
wiesebo01,5,Bob Wiesenhahn
yateswa01,5,Wayne Yates
zelleda01,5,Dave Zeller
barnhjo01,4,John Barnhill
beatyze01,4,Zelmo Beaty
bridgbi01,4,Bill Bridges
chapple01,4,Len Chappell
coxjo01,5,Johnny Cox
debusda01,4,Dave DeBusschere
dischte01,4,Terry Dischinger
doyleda01,5,Danny Doyle
duffybo02,5,Bob Duffy
ellisle01,3,Leroy Ellis
fedorda01,5,Dave Fedor
foleyja01,4,Jack Foley
gunthda01,5,Dave Gunther
hardnch01,5,Charlie Hardnett
havlijo01,3,John Havlicek
hightwa01,4,Wayne Hightower
hoguedu01,5,Paul Hogue
loughke01,4,Kevin Loughery
mcgilbi01,4,Bill McGill
meriwpo01,5,Porter Meriwether
montgho01,5,Howie Montgomery
nelsodo01,4,Don Nelson
nowelme01,5,Mel Nowell
olsenbu01,4,Bud Olsen
rudomjo01,5,John Rudometkin
sladeje01,5,Jeff Slade
stithto01,5,Tom Stith
swartda01,4,Dan Swartz
tiemada01,5,Dan Tieman
tormobu01,4,Gene Tormohlen
vaughch01,4,Chico Vaughn
walkech01,4,Chet Walker
warlebe01,4,Ben Warley
wellsra01,5,Ralph Wells
whitehu01,5,Hubie White
wileyge01,4,Gene Wiley
arnetja01,5,Jay Arnette
comlela01,5,Larry Comley
gibsome01,4,Mel Gibson
greenje01,5,Jerry Greenspan
hardire01,4,Reggie Harding
harknje01,5,Jerry Harkness
heymaar01,4,Art Heyman
hillga01,5,Gary Hill
hooveto01,4,Tom Hoover
johnsgu01,4,Gus Johnson
kingji01,4,Jim King
kojisdo01,4,Don Kojis
lucasje01,4,Jerry Lucas
milesed01,4,Eddie Miles
peterme01,5,Mel Peterson
rohloke01,5,Ken Rohloff
siegfla01,4,Larry Siegfried
stricro01,5,Roger Strickland
thackto01,4,Tom Thacker
thornro01,4,Rod Thorn
thurmna01,4,Nate Thurmond
wardge01,4,Gerry Ward
windsjo01,5,John Windsor
barneji01,4,Jim Barnes
bonharo01,4,Ron Bonham
braddga01,5,Gary Bradds
bryanem01,4,Em Bryant
caldwjo01,4,Joe Caldwell
countme01,4,Mel Counts
courtst01,5,Steve Courtin
groteje01,4,Jerry Grote
hairsha01,4,Happy Hairston
abdulma01,4,Walt Hazzard
huntele01,5,Les Hunter
jackslu01,4,Luke Jackson
jonesla01,4,Larry Jones
joneswa02,3,Wali Jones
komivho01,4,Howard Komives
koperbu01,5,Bud Koper
krameba01,5,Barry Kramer
mclemmc01,4,McCoy McLemore
mullije01,3,Jeff Mullins
nashco01,4,Cotton Nash
reedwi01,4,Willis Reed
silaspa01,3,Paul Silas
thompjo01,4,John Thompson
tresvjo01,4,John Tresvant
wilsoge01,4,George Wilson
barryri01,3,Rick Barry
bransje01,4,Jesse Branson
buntibi01,5,Bill Buntin
clemeba01,3,Barry Clemens
cunnibi01,3,Billy Cunningham
erickke01,4,Keith Erickson
faircjo01,4,John Fairchild
fraziwi01,4,Will Frazier
goodrga01,4,Gail Goodrich
hetzefr01,4,Fred Hetzel
mcglojo01,4,Jon McGlocklin
mcreyth01,5,Thales McReynolds
reedro01,4,Ron Reed
sloanje01,4,Jerry Sloan
somerwi01,5,Willie Somerset
stallda01,4,Dave Stallworth
strawjo01,4,Joe Strawder
vanardi01,4,Dick Van Arsdale
vanarto01,4,Tom Van Arsdale
warlibo01,4,Bob Warlick
washiji01,4,Jim Washington
wattsro01,4,Ron Watts
weissbo01,4,Bob Weiss
akinhe01,5,Henry Akin
austijo01,4,Johnny Austin
barneji02,3,Jim Barnett
bingda01,3,Dave Bing
blockjo01,4,John Block
bowmana01,4,Nate Bowman
chambje01,4,Jerry Chambers
clarkar01,4,Archie Clark
crawffr01,4,Freddie Crawford
deutsda01,5,Dave Deutsch
ellisjo01,4,Joe Ellis
finkeha01,4,Hank Finkel
guokama02,4,Matt Guokas
hogsebo01,4,Bob Hogsett
hudsolo01,3,Lou Hudson
johnsne02,4,Neil Johnson
kimbato01,4,Toby Kimball
kronto01,4,Tommy Kron
leecl01,3,Clyde Lee
lewisfr02,4,Freddie Lewis
lovebo01,3,Bob Love
marinja01,3,Jack Marin
melchbi01,4,Bill Melchionni
moliswa01,5,Wayne Molis
mueller01,4,Erwin Mueller
murredo01,4,Dorie Murrey
robinfl01,4,Flynn Robinson
russeca01,3,Cazzie Russell
schelda01,4,Dave Schellhase
snydedi01,3,Dick Snyder
wareji01,4,Jim Ware
weslewa01,4,Walt Wesley
actonbu01,4,Bud Acton
andercl01,4,Cliff Anderson
bradlbi01,4,Bill Bradley
brittty01,4,Tyrone Britt
burnsji01,4,Jim Burns
