,Carter Number,Name
wetzejo01,4,John Wetzel
foxji01,4,Jim Fox
doveso01,5,Sonny Dove
weitzri01,5,Rick Weitzman
actonbu01,4,Bud Acton
workmto01,4,Tom Workman
filipro01,4,Ron Filipek
andercl01,4,Cliff Anderson
longpa01,4,Paul Long
brittty01,4,Tyrone Britt
spitzcr01,5,Craig Spitzer
milleja01,4,Jay Miller
reidji01,4,Jim Reid
westro01,5,Roland West
wilbuke01,5,Ken Wilburn
burnsji01,5,Jim Burns
jacksal01,5,Al Jackson
caldwji01,5,Jim Caldwell
cartege01,5,George Carter
unselwe01,3,Wes Unseld
hayesel01,3,Elvin Hayes
kauffbo01,4,Bob Kauffman
newmada01,4,Dave Newmark
boerwto01,4,Tom Boerwinkle
gregoga01,4,Gary Gregor
harriar01,4,Art Harris
smithgr01,4,Greg Smith
cunnidi01,4,Dick Cunningham
adelmri01,4,Rick Adelman
williro01,4,Ron Williams
hewitbi01,4,Bill Hewitt
mooreot01,4,Otto Moore
lantzst01,4,Stu Lantz
kennejo01,5,Joe Kennedy
ormsba01,4,Barry Orms
fostefr01,3,Fred Foster
willisa01,4,Sam Williams
riordmi01,4,Mike Riordan
halimsh01,4,Shaler Halimon
hoskebi01,5,Bill Hosket
maydo01,4,Don May
frinkpa01,5,Pat Frink
hairsal01,5,Al Hairston
peterlo01,5,Loy Petersen
schluda01,4,Dale Schlueter
johnsri01,4,Rich Johnson
abdulza01,3,Zaid Abdul-Aziz
quickbo01,4,Bob Quick
cartyja01,5,Jay Carty
raymocr01,4,Craig Raymond
allenbo01,4,Bob Allen
harlisk01,4,Skip Harlicka
trappjo01,4,John Trapp
barneha01,4,Harry Barnes
chanedo01,3,Don Chaney
niemari01,4,Rich Niemann
paulkch01,4,Charlie Paulk
walledw01,4,Dwight Waller
knowlro01,5,Rod Knowles
biedeed01,5,Ed Biedenbach
simsdo01,5,Doug Sims
willicl01,5,Cliff Williams
abdulka01,3,Kareem Abdul-Jabbar
walkne01,4,Neal Walk
dandrbo01,3,Bob Dandridge
hawkico01,4,Connie Hawkins
vanlino01,3,Norm Van Lier
allenlu01,3,Lucius Allen
cartefr01,3,Fred Carter
smithbi02,3,Bingo Smith
roberri01,4,Rick Roberson
garredi01,4,Dick Garrett
willibe01,4,Bernie Williams
beardbu01,3,Butch Beard
rackllu01,4,Luther Rackley
winfile01,4,Lee Winfield
whitejo01,3,Jo Jo White
portmbo01,4,Bob Portman
greenla01,4,Lamar Green
gillihe01,4,Herm Gilliam
davismi01,4,Mike Davis
kuberst01,4,Steve Kuberski
ogdenbu01,4,Bud Ogden
lynnmi01,5,Mike Lynn
anderwa01,5,Wally Anderzunas
warrejo01,4,John Warren
greacbo01,4,Bob Greacen
mccarwi01,5,Willie McCarter
omallgr01,4,Grady O'Malley
mixst01,3,Steve Mix
heanebr01,4,Brian Heaney
arthujo01,4,John Arthurs
reynoge01,4,George Reynolds
baumjo01,5,Johnny Baum
scholda01,4,Dave Scholz
laniebo01,3,Bob Lanier
petrige01,4,Geoff Petrie
murphca01,3,Calvin Murphy
architi01,3,Tiny Archibald
adamsdo01,3,Don Adams
hummejo01,4,John Hummer
maravpe01,3,Pete Maravich
laceysa01,3,Sam Lacey
cowenda01,3,Dave Cowens
mcmilji01,4,Jim McMillian
crosspe01,4,Pete Cross
sorenda01,4,Dave Sorenson
tomjaru01,3,Rudy Tomjanovich
hydergr01,4,Greg Hyder
cookejo01,4,Joe Cooke
awtrede01,3,Dennis Awtrey
driscte01,4,Terry Driscoll
johnsjo01,3,John Johnson
warneco01,4,Cornell Warner
heardga01,4,Gar Heard
pricemi01,4,Mike Price
blackto01,4,Tom Black
colliji01,4,Jimmy Collins
arnzebo01,4,Bob Arnzen
taylofr01,4,Fred Taylor
chrisbo01,4,Bob Christian
zopfbi01,4,Bill Zopf
mikanla01,4,Larry Mikan
knighro01,4,Ron Knight
vallejo01,4,John Vallely
zellega01,4,Gary Zeller
washibo01,4,Bobby Washington
howargr01,4,Greg Howard
freemga01,4,Gary Freeman
fillmgr01,5,Greg Fillmore
thomajo01,4,Joe Thomas
whitehe01,4,Herb White
smithga01,4,Garfield Smith
sillimi01,5,Mike Silliman
fontale01,4,Levi Fontaine
morgare01,4,Rex Morgan
haywosp01,3,Spencer Haywood
ogdenra01,4,Ralph Ogden
barrmo01,4,Moe Barr
suitega01,4,Gary Suiter
masted01,4,Eddie Mast
webbje01,4,Jeff Webb
gilmowa01,4,Walt Gilmore
johnsge01,4,George Johnson
marlaha01,4,Harvey Marlatt
englicl01,4,Claude English
perrycu01,4,Curtis Perry
williwi01,4,Willie Williams
ruffnpa01,4,Paul Ruffner
rileybo01,4,Bob Riley
holtaw01,5,A.W. Holt
