,Carter Number,Name
dunlemi01,3,Mike Dunleavy
lewisfr02,4,Freddie Lewis
furlote01,3,Terry Furlow
haywosp01,3,Spencer Haywood
pacejo01,4,Joe Pace
bigelbo01,3,Bob Bigelow
karlge01,4,George Karl
roberma01,4,Marv Roberts
anderje01,4,Jerome Anderson
goodrga01,4,Gail Goodrich
wardhe01,4,Henry Ward
rogerma01,3,Marshall Rogers
wilsobo03,3,Bobby Wilson
cookno01,4,Norm Cook
howarmo01,4,Mo Howard
silasja01,3,James Silas
abdulza01,3,Zaid Abdul-Aziz
willich03,4,Chuckie Williams
davismi02,4,Mickey Davis
starrke01,4,Keith Starr
mcneila01,3,Larry McNeill
barneji02,3,Jim Barnett
warneco01,4,Cornell Warner
walkne01,4,Neal Walk
danieme01,4,Mel Daniels
mccrapa01,4,Paul McCracken
mcdongl01,4,Glenn McDonald
davisro01,3,Ron Davis
dickehe01,4,Henry Dickerson
elmorle01,3,Len Elmore
trappge01,4,George Trapp
cashco01,4,Cornelius Cash
elstoda01,4,Darrell Elston
fernser01,3,Eric Fernsten
hackeru01,4,Rudy Hackett
mayescl01,3,Clyde Mayes
nelsolo01,3,Louie Nelson
barnhno01,4,Norton Barnhill
jonesji01,4,Jimmy Jones
murphal01,4,Allen Murphy
dantomi01,4,Mike D'Antoni
smithwi02,3,Willie Smith
williea01,3,Earl Williams
sikmaja01,3,Jack Sikma
roberan01,3,Anthony Roberts
willira01,2,Ray Williams
daviswa03,3,Walter Davis
scottal01,3,Alvin Scott
nixonno01,3,Norm Nixon
reidro01,2,Robert Reid
rollitr01,2,Tree Rollins
knighto01,3,Toby Knight
johnsma01,3,Marques Johnson
bratzmi01,3,Mike Bratz
kingbe01,2,Bernard King
johnsed02,3,Eddie Johnson
ellisbo02,4,Bo Ellis
kuestjo01,3,John Kuester
lagarto01,3,Tom LaGarde
crissch01,2,Charlie Criss
ballagr01,3,Greg Ballard
greenri01,2,Rickey Green
grunfer01,3,Ernie Grunfeld
birdsot01,3,Otis Birdsong
gondrgl01,3,Glen Gondrezick
maxwece01,2,Cedric Maxwell
bensoke01,2,Kent Benson
armstta01,4,Tate Armstrong
nashbo01,3,Bob Nash
sheppst01,4,Steve Sheppard
forreba01,4,Bayard Forrest
roberto01,3,Tony Robertson
dunntr01,2,T.R. Dunn
landsma01,3,Mark Landsberger
marshri01,3,Ricky Marsh
edwarja01,2,James Edwards
glennmi01,2,Mike Glenn
carrke01,3,Kenny Carr
poquebe01,2,Ben Poquette
jordaed01,3,Eddie Jordan
bailegu01,4,Gus Bailey
hassejo01,3,Joe Hassett
smithro01,3,Robert Smith
coxwe01,3,Wesley Cox
bradlal01,3,Alonzo Bradley
mcdanji01,3,Jim McDaniels
walkeph01,4,Phil Walker
carribo01,3,Bob Carrington
griffgr01,4,Greg Griffin
davisbr01,3,Brad Davis
washiwi01,3,Wilson Washington
flemial01,3,Al Fleming
moffela01,3,Larry Moffett
crowma01,3,Mark Crow
simssc01,4,Scott Sims
laureri01,4,Rich Laurel
owensed01,3,Eddie Owens
dorseja01,3,Jacky Dorsey
brittwa01,4,Wayman Britt
bondph01,3,Phil Bond
moslegl01,3,Glenn Mosley
johnsla01,3,Larry Johnson
bostiji01,4,Jim Bostic
longjo01,2,John Long
kramejo01,3,Joel Kramer
cheekma01,2,Maurice Cheeks
tylerte01,3,Terry Tyler
theusre01,3,Reggie Theus
brewero01,3,Ron Brewer
judkije01,3,Jeff Judkins
mitchmi01,2,Mike Mitchell
fordph01,2,Phil Ford
mckinbi01,2,Billy McKinney
shortpu01,2,Purvis Short
johnscl01,3,Clemon Johnson
givenja01,3,Jack Givens
thompmy01,3,Mychal Thompson
richami01,3,Micheal Ray Richardson
willifr01,3,Freeman Williams
wakefan01,3,Andre Wakefield
boynewi01,3,Winford Boynes
higgske01,3,Kenny Higgs
hardyja01,3,James Hardy
townsra01,3,Raymond Townsend
coopewa01,2,Wayne Cooper
wilsori01,3,Rick Wilson
greento01,4,Tommie Green
corzida01,2,Dave Corzine
ruddjo01,3,John Rudd
radfowa01,3,Wayne Radford
leebu01,3,Butch Lee
redmoma01,3,Marlon Redmond
cartero01,3,Ron Carter
byrnema01,3,Marty Byrnes
robeyri01,3,Rick Robey
davisha01,4,Harry Davis
olivejo01,3,John Olive
whiteje01,3,Jerome Whitehead
pheglro01,3,Roger Phegley
hollies01,3,Essie Hollis
sandefr01,3,Frankie Sanders
normaco01,3,Connie Norman
anderki01,3,Kim Anderson
crompge01,3,Geoff Crompton
smithsa02,4,Sam Smith
hansela01,3,Lars Hansen
herroke01,3,Keith Herron
elliobo01,3,Bob Elliott
eppsra01,3,Ray Epps
robinja01,3,Jackie Robinson
bunchgr01,3,Greg Bunch
howarot01,3,Otis Howard
boydde01,3,Dennis Boyd
pietkst01,3,Stan Pietkiewicz
coopemi01,3,Michael Cooper
beshode01,4,Del Beshore
demicla01,3,Larry Demic
kingre01,3,Reggie King
cartwbi01,2,Bill Cartwright
jonesma01,3,Major Jones
rochejo01,3,John Roche
highjo01,3,Johnny High
greenda01,2,Dave Greenwood
bradldu01,3,Dudley Bradley
